year,country,value
1980,USA,31081.62163338
1981,USA,31559.1293373937
1982,USA,30696.0834358718
1983,USA,31810.9216083487
1984,USA,33818.8235524677
1985,USA,34918.1302027193
1986,USA,35794.8877745985
1987,USA,36701.9453883904
1988,USA,37889.3773472194
1989,USA,38911.5418949927
1990,USA,39200.0658103964
1991,USA,38637.8398159491
1992,USA,39447.9472847522
1993,USA,40002.4762262205
1994,USA,41106.9881841375
1995,USA,41710.8207239918
1996,USA,42783.8165710653
1997,USA,44151.6860411494
1998,USA,45596.4306860229
1999,USA,47234.2455275781
2000,USA,48616.2546267835
2001,USA,48597.4246130164
2002,USA,48967.3661209521
2003,USA,49905.5233079503
2004,USA,51348.3473392466
2005,USA,52649.5713058632
2006,USA,53596.3152369749
2007,USA,54152.8292653448
2008,USA,53703.9628962873
2009,USA,51863.6183424227
2010,USA,52812.682985453
1980,Canada,27622.3734030629
1981,Canada,28215.530855259
1982,Canada,26999.079084851
1983,Canada,27418.4916111044
1984,Canada,28762.9722015849
1985,Canada,29851.6432940057
1986,Canada,30183.4087940958
1987,Canada,31001.1298465676
1988,Canada,31951.5504658265
1989,Canada,32116.9233234971
1990,Canada,31700.5462613508
1991,Canada,30654.3331550624
1992,Canada,30563.3788132238
1993,Canada,31032.7546058282
1994,Canada,32074.1562636226
1995,Canada,32595.4515150443
1996,Canada,32801.3018574024
1997,Canada,33867.0079071879
1998,Canada,34894.6134264056
1999,Canada,36391.535343959
2000,Canada,37906.8601321366
2001,Canada,38200.456120621
2002,Canada,38921.6673033743
2003,Canada,39270.0234577749
2004,Canada,40108.7587456658
2005,Canada,41006.2229523971
2006,Canada,41663.5123057295
2007,Canada,42106.8724378248
2008,Canada,42067.5687072607
2009,Canada,40376.4153847836
2010,Canada,41164.3399119626
1980,Japan,19334.3747441799
1981,Japan,20011.8292508515
1982,Japan,20525.2958514217
1983,Japan,21122.9648423607
1984,Japan,21912.1518618966
1985,Japan,22898.9942415029
1986,Japan,23527.7125188746
1987,Japan,24503.0845657844
1988,Japan,26026.8648821365
1989,Japan,27199.9399695936
1990,Japan,28422.2131194472
1991,Japan,29308.2740881269
1992,Japan,29462.6539671073
1993,Japan,29232.4397928009
1994,Japan,29466.7552451648
1995,Japan,30171.1637924153
1996,Japan,31046.1701544217
1997,Japan,31276.1930771989
1998,Japan,30795.0888900919
1999,Japan,30636.2661169604
2000,Japan,31430.631130325
2001,Japan,31476.0520665746
2002,Japan,31416.1241772309
2003,Japan,31830.217584972
2004,Japan,32515.1158024695
2005,Japan,33098.5474664881
2006,Japan,33531.518563066
2007,Japan,33990.0360341367
2008,Japan,33557.6454041595
2009,Japan,31651.0837739562
2010,Japan,32942.2020783835
1980,Germany,23977.2698576818
1981,Germany,24067.4825489522
1982,Germany,23995.2661838189
1983,Germany,24436.5473264161
1984,Germany,25213.38204825
1985,Germany,25858.0588621429
1986,Germany,26437.4177349407
1987,Germany,26766.9600591944
1988,Germany,27651.0362699101
1989,Germany,28507.1621309974
1990,Germany,29747.6909354385
1991,Germany,31040.2935634693
1992,Germany,31425.6476019368
1993,Germany,30915.8728850114
1994,Germany,31609.1102824496
1995,Germany,31990.7949834569
1996,Germany,32229.4778712612
1997,Germany,32779.2802466297
1998,Germany,33461.3192177074
1999,Germany,34152.0032259735
2000,Germany,35087.0891588694
2001,Germany,35601.3628316391
2002,Germany,35460.4121391449
2003,Germany,35252.9745130135
2004,Germany,35670.4870225493
2005,Germany,36006.8578127742
2006,Germany,37437.3918784909
2007,Germany,38570.9146369495
2008,Germany,38996.1434106777
2009,Germany,36927.1920288238
2010,Germany,38517.4397880176
1980,France,23050.9255953042
1981,France,23186.7612665684
1982,France,23666.5121788084
1983,France,23836.4018927227
1984,France,24102.0176176027
1985,France,24358.1382748825
1986,France,24813.0302579158
1987,France,25308.620924146
1988,France,26374.1221811161
1989,France,27372.0534763161
1990,France,27992.9751471374
1991,France,28197.2359540607
1992,France,28482.5194675509
1993,France,28257.0962487817
1994,France,28822.5006495069
1995,France,29379.6158424052
1996,France,29683.7786067651
1997,France,30325.522871824
1998,France,31256.5073830655
1999,France,32152.7207478734
2000,France,33255.1379642335
2001,France,33640.6738002565
2002,France,33753.5782979758
2003,France,33840.6175720101
2004,France,34557.1471111581
2005,France,34946.0372494703
2006,France,35645.4162427116
2007,France,36322.1685141004
2008,France,36257.3658930938
2009,France,35052.8510772683
2010,France,35578.1968010183
1980,Italy,21901.9268708549
1981,Italy,22060.3287067697
1982,Italy,22135.1628545397
1983,Italy,22385.8416028019
1984,Italy,23102.8115427941
1985,Italy,23742.3854949723
1986,Italy,24420.0802858599
1987,Italy,25196.9881183266
1988,Italy,26241.1619056876
1989,Italy,27109.970559768
1990,Italy,27625.1792306413
1991,Italy,28030.7653841073
1992,Italy,28245.4271054692
1993,Italy,27987.4328969281
1994,Italy,28583.6255328648
1995,Italy,29408.3209572297
1996,Italy,29795.6597750915
1997,Italy,30353.3778243995
1998,Italy,30892.1758654455
1999,Italy,31405.2609007683
2000,Italy,32609.66746283
2001,Italy,33243.599343976
2002,Italy,33267.4474482048
2003,Italy,33110.1698494812
2004,Italy,33348.9744820456
2005,Italy,33407.6754716472
2006,Italy,33873.0493680093
2007,Italy,34159.9109244074
2008,Italy,33550.6340800063
2009,Italy,31587.0638416305
2010,Italy,31928.5543621096
1980,United Kingdom,23526.2555043517
1981,United Kingdom,23332.8025676938
1982,United Kingdom,23806.7980916528
1983,United Kingdom,24803.4271519669
1984,United Kingdom,25326.1296660232
1985,United Kingdom,26316.7154348235
1986,United Kingdom,27082.9819543398
1987,United Kingdom,28482.8666757154
1988,United Kingdom,30048.820666255
1989,United Kingdom,30743.2275250086
1990,United Kingdom,30876.3706404357
1991,United Kingdom,30441.4813420211
1992,United Kingdom,30481.0348883355
1993,United Kingdom,31165.1544491287
1994,United Kingdom,32281.4801601039
1995,United Kingdom,33011.2945663233
1996,United Kingdom,33777.5280810971
1997,United Kingdom,35349.7906380412
1998,United Kingdom,36446.2616767045
1999,United Kingdom,37435.884438888
2000,United Kingdom,38921.896573883
2001,United Kingdom,39769.8719792093
2002,United Kingdom,40312.9824110757
2003,United Kingdom,41390.6062127939
2004,United Kingdom,42167.3557264259
2005,United Kingdom,43023.2277090836
2006,United Kingdom,43724.8957366594
2007,United Kingdom,44524.5706965197
2008,United Kingdom,44065.6156693521
2009,United Kingdom,41712.8319164411
2010,United Kingdom,42311.4329830247
